_id,School,subschool,descriptors,Brd,Clr,Drd,Pal,Rgr,Wiz,Spell Name,Effect,Comp,Time,Range,Duration,Save,SR,Full,gp,xp
,Conj,creation,acid,,,,,,6,Acid Fog,Fog deals acid damage.,vsmd,1 action,Medium (100 ft. + 10 ft./level),1 round/level,None,Yes,"A bank of fog billows out from the point the character designates. The fog obscures all sight, including darkvision, beyond 5 feet. A creature within 5 feet has one-half concealment (attacks suffer a 20% miss chance). Creatures farther away have total concealment (50% miss chance, and the attacker cannot use sight to locate the target). The fog is so thick that any creature attempting to move through it progresses at one-tenth normal speed, and all melee attack and melee damage rolls suffer a –2 penalty. The vapors prevent effective ranged weapon attacks (except for magic rays and the like). A creature or object that falls into the fog is slowed, so that each 10 feet of vapor that the creature or objects passes through reduces falling damage by 1d6.

Each round, starting when the character casts the spell, the fog deals 2d6 points of acid damage to creatures and objects within it.

Only a severe wind (31+ mph) disperses these vapors, and it does so in 1 round.",,
,Ench,compulsion,mind-affecting,,2,,,,,Aid,"+1 attack, +1 on saves against fear, 1d8 temporary hit points.",vsd,1 action,Touch,1 minute/level,None,Yes,"The subject gains a morale bonus of +1 on attack rolls, a morale bonus of +1 on saving throws against fear effects, and gains 1d8 temporary hit points.",,
,Trans,,,,4,,,,,Air Walk,Subject treads on air as if solid (climb at 45-degree angle).,vsd,1 action,Touch,10 minutes/level,None,Yes,"The target creature can tread on air as if walking on solid ground. The maximum upward or downward angle possible is 45 degrees, at a rate equal to one-half the creature's normal speed.

A strong wind (21+ mph) can push an air walker along or hold the walker back. At the end of the walker's turn each round, the wind blows the walker 5 feet for each 5 miles per hour of wind speed. The creature can, at the DM's option, be subject to additional penalties in exceptionally strong or turbulent winds.

The character can cast air walk on a specially trained mount so it can be ridden through the air. The character trains a mount to air walk with the Handle Animal skill (air walking counts as an unusual task).",,
,Abjur,,,1,,,,1,1,Alarm,Wards an area for 2 hours/level.,vsfd,1 action,Close (25 ft. + 5 ft./2 levels),2 hours/level,None,No,"Alarm sounds a mental or audible alarm each time a creature of Tiny or larger size enters the area or touches it. A creature who speaks the password (determined by the character at the time of casting) does not set off the alarm. The character decides at the time of casting whether the alarm will be mental or audible.

Mental Alarm: A mental alarm alerts the character (and only the character) so long as the character remains within a mile of the warded area. The character notes a single mental alert that awakens the character from normal sleep but does not otherwise disturb concentration. A silence spell has no effect on a mental alarm.

Audible Alarm: An audible alarm produces the sound of a hand bell, and anyone within 60 feet of the warded area can hear it clearly. Reduce the distance by 10 feet for each interposing closed door and by 20 feet for each substantial interposing wall. In quiet conditions, the ringing can be heard faintly up to 180 feet away. The ringing lasts for 1 round. Creatures within a silence spell cannot hear the ringing.

Ethereal or astral creatures do not trigger the alarm unless the intruder becomes material while in the warded area.",,
,Trans,,,,,,,,2,Alter Self,"As change self, plus more drastic changes.",vs,1 action,Personal,10 minutes/level,--,--,"The character can alter the character's appearance and form-including clothing and equipment-to appear taller or shorter, thin, fat, or in between. The assumed form must be corporeal. The character's body can undergo a limited physical transmutation, including adding or subtracting one or two limbs, and the character's weight can be changed up to one-half. If the form selected has wings, the character can fly at a speed of 30 feet with poor maneuverability. If the form has gills, the character can breathe underwater.

The character's attack rolls, natural armor bonus, and saves do not change. The spell does not confer special abilities, attack forms, defenses, ability scores, or mannerisms of the chosen form. Once the new form is chosen, it remains for the duration of the spell. If the character is slain, the character automatically returns to the character's normal form.

If the character uses this spell to create a disguise, the character gets a +10 bonus on the character's Disguise check.",,
,Div,,,,,,,,6,Analyze Dweomer,Reveals magical aspects of subject.,vsf,8 hours,Close (25 ft. + 5 ft./2 levels),1 round/level,See text,No,"The character discerns spells and magical properties present in a creature or object. One property, spell, or power is revealed each round, from lowest level (or weakest power) to highest (or strongest). For each spell or power, the character makes a caster level check (1d20 + caster level). If the result is equal to or higher than the spell's or power's caster level, the character identifies it. Otherwise, the character fails to identify that spell or power, and the character can check for the next one next round.

Analyze dweomer does not function when used on an artifact.

After the character analyzes one object or creature, the spell ends, even if its duration has not expired yet. The character must make a Fortitude save (DC 21) when the spell ends or be exhausted and unable to do anything but rest for the next 1d8 hours.

Focus: The focus must be worth at least 1,500 gp.",,
,Ench,charm,mind-affecting,,,1,,1,,Animal Friendship,Gains permanent animal companions.,vsm,1 action,Close (25 ft. + 5 ft./2 levels),Instantaneous,Will negates,Yes,,,
,Trans,,,,,5,,,5,Animal Growth,"One animal/two levels doubles in size, HD.",vs,1 action,Medium (100 ft. + 10 ft./level),1 minute/level,None,Yes,,,
,Ench,compulsion,mind-affecting,,2,2,,2,,Animal Messenger,Sends a Tiny animal to a specific place.,vsm,1 action,Close (25 ft. + 5 ft./2 levels),1 day/level,None,Yes,,,
,Trans,,,,,8,,,,Animal Shapes,One ally/level polymorphs into chosen animal.,vsd,1 action,Close (25 ft. + 5 ft./2 levels),1 hour/level,None,Yes,,,
